id,created_at,updated_at,country,average,count,s1,s2,s3,s4,s5,type,date_string
1,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.365,87994,5208,2788,5549,15572,58877,android,20150311
2,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.241,15833,1523,598,979,2174,10559,ios,20150311
3,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.241,15833,1523,598,979,2174,10559,ios,20150312
4,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.365,87994,5208,2788,5549,15572,58877,android,20150312
5,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.365,89105,5280,2823,5621,15768,59613,android,20150316
6,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.246,15980,1526,600,983,2185,10686,ios,20150316
7,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.365,89105,5280,2823,5621,15768,59613,android,20150317
8,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.246,15980,1526,600,983,2185,10686,ios,20150317
9,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.248,16067,1527,600,984,2200,10756,ios,20150318
10,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.365,89105,5280,2823,5621,15768,59613,android,20150318
11,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.25,16106,1527,600,987,2201,10791,ios,20150319
12,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.365,89105,5280,2823,5621,15768,59613,android,20150319
13,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.251,16140,1527,601,986,2205,10821,ios,20150320
14,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.364,90132,5351,2865,5687,15988,60241,android,20150320
15,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.364,90132,5351,2865,5687,15988,60241,android,20150323
16,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.25,16260,1544,603,991,2222,10900,ios,20150323
17,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.383,26908,2042,728,1296,3659,19183,ios,20151228
18,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.358,122257,7524,3917,7361,21886,81569,android,20151228
19,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.497,40028,2259,828,1613,5378,29950,ios,20160629
20,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,141881,8381,4273,8206,25695,95326,android,20160629
21,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,141881,8381,4273,8206,25695,95326,android,20160630
22,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.498,40079,2260,830,1613,5379,29997,ios,20160630
23,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,142689,8420,4293,8243,25846,95887,android,20160704
24,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.499,40271,2263,830,1618,5400,30160,ios,20160704
25,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.499,40333,2263,830,1619,5407,30214,ios,20160705
26,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,142689,8420,4293,8243,25846,95887,android,20160705
27,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,142689,8420,4293,8243,25846,95887,android,20160706
28,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.5,40404,2263,830,1624,5417,30270,ios,20160706
29,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.5,40404,2263,830,1624,5417,30270,ios,20160707
30,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,142689,8420,4293,8243,25846,95887,android,20160707
31,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,143490,8478,4325,8291,25993,96403,android,20160708
32,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.501,40515,2263,830,1631,5432,30359,ios,20160708
